-,-,-,-,Noch nichts erkannt,-,
87.5,10,1.0803916358260297,0.2,Neutral,1.0,
87.5,10,1.1499747773495212,0.2,Neutral,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
18.5,10,1.2839835231402956,0.2,Fearful,1.0,
86.5,10,1.1041131870488896,0.2,Fearful,1.0,
86.5,10,1.1134002897834898,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
86.5,10,1.2037904278858256,0.2,Neutral,1.0,
76.16666666666667,10,1.1561998311245438,0.2,Neutral,1.0,
86.5,20,1.1982988307656357,0.2,Fearful,1.0,
11.5,20,1.1789370553594791,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
86.5,20,1.0376665887304184,0.2,Fearful,1.0,
52.0,20,1.218584474958761,0.2,Fearful,1.0,
52.0,20,0.9708525937339496,0.2,Fearful,1.0,
42.0,20,1.2024345105105838,0.2,Fearful,1.0,
42.0,20,1.245266800527259,0.2,Fearful,1.0,
87.0,20,1.278076387667613,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
86.5,20,1.1694235190352944,0.1,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,0.99999774,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
54.0,20,1.2458956448090512,0.1,Neutral,1.0,
54.5,20,1.2990294376049965,0.1,Neutral,1.0,
54.5,20,0.8611383944613468,0.1,Fearful,1.0,
56.666666666666664,20,1.2556312957612012,0.1,Neutral,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Neutral,0.86231905,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
19.5,20,0.6797193289934593,0.2,Angry,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
19.5,20,1.2709102814349724,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
35.5,20,0.824191050000503,0.2,Neutral,1.0,
35.5,20,1.3938258936747143,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
87.0,20,1.1932745842442993,0.2,Neutral,1.0,
49.0,20,1.2573372539214613,0.2,Neutral,1.0,
-,Blinzelt,-,Blinzelt,Neutral,1.0,
89.0,20,1.1673138316357687,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
55.5,20,1.2193922855667823,0.2,Neutral,1.0,
49.5,20,1.216256661863263,0.2,Neutral,1.0,
54.5,20,1.1983742038172143,0.2,Neutral,1.0,
85.5,20,1.1550935868520131,0.2,Fearful,0.9982304,
54.5,20,1.1099306460621858,0.2,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
54.5,20,1.2335179247722492,0.1,Fearful,1.0,
12.0,20,1.1091119417036575,0.1,Neutral,1.0,
85.5,20,1.073302369754568,0.1,Fearful,1.0,
85.5,20,1.1790821876645872,0.1,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
-,Blinzelt,-,Blinzelt,Fearful,1.0,
86.5,20,1.1722519097304334,0.1,Fearful,1.0,
